# Kiara's live service list, pulled from platform.rekaz.io/products on 2026-08-02.
# Columns: name | type | categories | status | imageId | options
#   options = "label~price~duration" joined by ";" (empty label = the service itself)
#   imageId  = https://cdn.rekaz.io/tenants/3a1f3638-e6dc-d864-4aa7-df60cdbb1146/<imageId>.webp
قص الشعر مدرجات|حجز|قسم الاستشوار|منشور|3a22c1e0-76f5-0d1a-0dac-e6ad77bcc46e|قص الشعر مدرجات~50~30 دقيقة;قص للشعر المتوسط~70~30 دقيقة;قص للشعر الطويل~85~30 دقيقة
عنايه واسترخاء 🍃|مجموعة خدمات|البكجات|منشور|3a229d6e-0c71-64ae-8c35-506c0b71ca17|~445~ساعتين و 40 دقيقة
واكس الرقبة🍃|حجز|قسم حف الجسم|منشور|3a229d75-9991-11b4-9cd5-3d05d016d9c5|~10~10 دقائق
تركيب اظافر اطفال 🍃|حجز|قسم الأطفال|منشور|3a227f6b-e9f2-2f3b-cb16-87fdd8232146|~35~15 دقيقة
لون جل فرنسي 🍃|حجز|قسم البديكير والمناكير|منشور|3a227f45-8087-9293-c316-feac6bf6083b|لون جل فرنسي 🍃~100~25 دقيقة;اظافه آرت للظفر الواحد~10~10 دقائق;ستيكر~5~10 دقائق
واكس البطن 🍃|حجز|قسم حف الجسم|منشور|3a227f26-b712-9c63-283b-456062b77740|~50~15 دقيقة
واكس الظهر 🍃|حجز|قسم حف الجسم|منشور|3a227f2c-26f4-a2ae-02f4-077cc70ec863|~40~15 دقيقة
مساج الظهر 🍃|حجز|قسم المساج|منشور|3a227f1f-ad93-48be-2829-1e117fe5f280|مساج الظهر 🍃~120~30 دقيقة;مساج الظهر 🍃~150~40 دقيقة
مساج الكتف والرقبه 🍃|حجز|قسم المساج|منشور|3a227f1e-613a-b638-5180-5e463a1779be|مساج الكتف والرقبه 🍃~120~30 دقيقة;مساج الكتف والرقبه~150~40 دقيقة
مساج الأقدام 🍃 Foot Massage|حجز|اختر القسم|منشور|3a2273f1-204b-76ec-c48a-a97536caeb36|~150~40 دقيقة
مساج الأقدام 🍃 Foot Massage|حجز|اختر القسم|منشور|3a227402-eb3d-471d-6402-25e1826a84cf|مساج الأقدام 🍃 Foot Massage~120~30 دقيقة;مساج الأقدام~150~40 دقيقة
